Type,Part Number,Brand,Model,Rank,Benchmark,Samples,URL
CPU,BX8070811900K,Intel,Core i9-11900K,1,110,9886,https://cpu.userbenchmark.com/Intel-Core-i9-11900K/Rating/4110
CPU,BX8070811900KF,Intel,Core i9-11900KF,2,107,2429,https://cpu.userbenchmark.com/SpeedTest/1515781/11th-Gen-IntelR-CoreTM-i9-11900KF---350GHz
CPU,BX8070811700K,Intel,Core i7-11700K,3,107,17095,https://cpu.userbenchmark.com/Intel-Core-i7-11700K/Rating/4107
CPU,BX8070811700KF,Intel,Core i7-11700KF,4,106,3544,https://cpu.userbenchmark.com/SpeedTest/1514594/11th-Gen-IntelR-CoreTM-i7-11700KF---360GHz
CPU,BX8070811900,Intel,Core i9-11900,5,106,1163,https://cpu.userbenchmark.com/SpeedTest/1515871/11th-Gen-IntelR-CoreTM-i9-11900---250GHz
CPU,BX8070811900F,Intel,Core i9-11900F,6,105,1090,https://cpu.userbenchmark.com/SpeedTest/1492552/11th-Gen-IntelR-CoreTM-i9-11900F---250GHz
CPU,BX8070811600KF,Intel,Core i5-11600KF,7,104,1490,https://cpu.userbenchmark.com/SpeedTest/1512279/11th-Gen-IntelR-CoreTM-i5-11600KF---390GHz
CPU,BX8070811600K,Intel,Core i5-11600K,8,104,9201,https://cpu.userbenchmark.com/Intel-Core-i5-11600K/Rating/4113
CPU,BX8070811600,Intel,Core i5-11600,9,103,495,https://cpu.userbenchmark.com/SpeedTest/1543284/11th-Gen-IntelR-CoreTM-i5-11600---280GHz
CPU,BX8070811700,Intel,Core i7-11700,10,102,4497,https://cpu.userbenchmark.com/SpeedTest/1450761/11th-Gen-IntelR-CoreTM-i7-11700---250GHz
CPU,BX8070110900K,Intel,Core i9-10900K,11,102,60717,https://cpu.userbenchmark.com/Intel-Core-i9-10900K/Rating/4071
CPU,BX80684I99900KS,Intel,Core i9-9900KS,12,101,12037,https://cpu.userbenchmark.com/SpeedTest/929964/IntelR-CoreTM-i9-9900KS-CPU---400GHz
CPU,100-100000061WOF,AMD,Ryzen 9 5900X,13,101,76078,https://cpu.userbenchmark.com/AMD-Ryzen-9-5900X/Rating/4087
CPU,BX8070110900KF,Intel,Core i9-10900KF,14,101,14873,https://cpu.userbenchmark.com/SpeedTest/1174369/IntelR-CoreTM-i9-10900KF-CPU---370GHz
CPU,100-100000059WOF,AMD,Ryzen 9 5950X,15,100,32130,https://cpu.userbenchmark.com/AMD-Ryzen-9-5950X/Rating/4086
CPU,BX8070811500,Intel,Core i5-11500,16,100,961,https://cpu.userbenchmark.com/SpeedTest/1496869/11th-Gen-IntelR-CoreTM-i5-11500---270GHz
CPU,BX8070110850K,Intel,Core i9-10850K,17,100,49000,https://cpu.userbenchmark.com/SpeedTest/1255865/IntelR-CoreTM-i9-10850K-CPU---360GHz
CPU,BX8070811700F,Intel,Core i7-11700F,18,100,4244,https://cpu.userbenchmark.com/SpeedTest/1522100/11th-Gen-IntelR-CoreTM-i7-11700F---250GHz
CPU,100-100000063WOF,AMD,Ryzen 7 5800X,19,99.6,134855,https://cpu.userbenchmark.com/AMD-Ryzen-7-5800X/Rating/4085
CPU,,AMD,Ryzen 9 5900,20,98.5,254,https://cpu.userbenchmark.com/SpeedTest/1528736/AMD-Ryzen-9-5900-12-Core-Processor
CPU,BX8070110700KF,Intel,Core i7-10700KF,21,98,21450,https://cpu.userbenchmark.com/SpeedTest/1171560/IntelR-CoreTM-i7-10700KF-CPU---380GHz
CPU,BX8070110900F,Intel,Core i9-10900F,22,97.7,5479,https://cpu.userbenchmark.com/SpeedTest/1196789/IntelR-CoreTM-i9-10900F-CPU---280GHz
CPU,,AMD,Ryzen 7 5800,23,97.7,669,https://cpu.userbenchmark.com/SpeedTest/1496609/AMD-Ryzen-7-5800-8-Core-Processor
CPU,BX80684I99900K,Intel,Core i9-9900K,24,97.6,387071,https://cpu.userbenchmark.com/Intel-Core-i9-9900K/Rating/4028
CPU,BX80684I99900KF,Intel,Core i9-9900KF,25,97.6,17610,https://cpu.userbenchmark.com/SpeedTest/764533/IntelR-CoreTM-i9-9900KF-CPU---360GHz
CPU,BX8070110700K,Intel,Core i7-10700K,26,97.5,132671,https://cpu.userbenchmark.com/Intel-Core-i7-10700K/Rating/4070
CPU,BX80684I79700K,Intel,Core i7-9700K,27,97.4,464919,https://cpu.userbenchmark.com/Intel-Core-i7-9700K/Rating/4030
CPU,BX8070811400,Intel,Core i5-11400,28,97.4,5237,https://cpu.userbenchmark.com/Intel-Core-i5-11400/Rating/4112
CPU,BX8070811400F,Intel,Core i5-11400F,29,97.2,5395,https://cpu.userbenchmark.com/Intel-Core-i5-11400F/Rating/4111
CPU,,Intel,Core i9-10900,30,97.1,7068,https://cpu.userbenchmark.com/SpeedTest/1169242/IntelR-CoreTM-i9-10900-CPU---280GHz
CPU,,Intel,Core i9-11980HK,31,97,533,https://cpu.userbenchmark.com/SpeedTest/1569162/11th-Gen-IntelR-CoreTM-i9-11980HK---260GHz
CPU,BX80684I79700KF,Intel,Core i7-9700KF,32,97,26315,https://cpu.userbenchmark.com/SpeedTest/710154/IntelR-CoreTM-i7-9700KF-CPU---360GHz
CPU,100-100000065BOX,AMD,Ryzen 5 5600X,33,96.9,202863,https://cpu.userbenchmark.com/AMD-Ryzen-5-5600X/Rating/4084
CPU,BX8070110600K,Intel,Core i5-10600K,34,95.3,47741,https://cpu.userbenchmark.com/Intel-Core-i5-10600K/Rating/4072
CPU,BX8070110600KF,Intel,Core i5-10600KF,35,94.9,11791,https://cpu.userbenchmark.com/SpeedTest/1225152/IntelR-CoreTM-i5-10600KF-CPU---410GHz
CPU,,Intel,Core i9-11950H,36,94.9,150,https://cpu.userbenchmark.com/SpeedTest/1554081/11th-Gen-IntelR-CoreTM-i9-11950H---260GHz
CPU,,AMD,Ryzen 7 5700G,37,94.7,1464,https://cpu.userbenchmark.com/SpeedTest/1552677/AMD-Ryzen-7-5700G-with-Radeon-Graphics
CPU,BX8070110700F,Intel,Core i7-10700F,38,94.6,25914,https://cpu.userbenchmark.com/SpeedTest/1183814/IntelR-CoreTM-i7-10700F-CPU---290GHz
CPU,BX8070110700,Intel,Core i7-10700,39,94.1,46263,https://cpu.userbenchmark.com/Intel-Core-i7-10700/Rating/4077
CPU,BX80684I59600K,Intel,Core i5-9600K,40,94,306614,https://cpu.userbenchmark.com/Intel-Core-i5-9600K/Rating/4031
CPU,BX80684I59600KF,Intel,Core i5-9600KF,41,93.6,60968,https://cpu.userbenchmark.com/SpeedTest/772658/IntelR-CoreTM-i5-9600KF-CPU---370GHz
CPU,BX80684I78086K,Intel,Core i7-8086K,42,93.3,36783,https://cpu.userbenchmark.com/SpeedTest/516988/IntelR-CoreTM-i7-8086K-CPU---400GHz
