Type,Part Number,Brand,Model,Rank,Benchmark,Samples,URL
CPU,BX8071512900K,Intel,Core i9-12900K,1,123,4,https://cpu.userbenchmark.com/Intel-Core-i9-12900K/Rating/4118
CPU,BX8071512600K,Intel,Core i5-12600K,2,123,1,https://cpu.userbenchmark.com/Intel-Core-i5-12600K/Rating/4120
CPU,BX8071512700K,Intel,Core i7-12700K,3,122,1,https://cpu.userbenchmark.com/Intel-Core-i7-12700K/Rating/4119
CPU,BX8070811900K,Intel,Core i9-11900K,4,108,12465,https://cpu.userbenchmark.com/Intel-Core-i9-11900K/Rating/4110
CPU,BX8070811900KF,Intel,Core i9-11900KF,5,107,2907,https://cpu.userbenchmark.com/SpeedTest/1515781/11th-Gen-IntelR-CoreTM-i9-11900KF---350GHz
CPU,BX8070811700K,Intel,Core i7-11700K,6,106,20177,https://cpu.userbenchmark.com/Intel-Core-i7-11700K/Rating/4107
CPU,BX8070811700KF,Intel,Core i7-11700KF,7,105,4994,https://cpu.userbenchmark.com/SpeedTest/1514594/11th-Gen-IntelR-CoreTM-i7-11700KF---360GHz
CPU,BX8070811900F,Intel,Core i9-11900F,8,105,1366,https://cpu.userbenchmark.com/SpeedTest/1492552/11th-Gen-IntelR-CoreTM-i9-11900F---250GHz
CPU,BX8070811900,Intel,Core i9-11900,9,105,1520,https://cpu.userbenchmark.com/SpeedTest/1515871/11th-Gen-IntelR-CoreTM-i9-11900---250GHz
CPU,BX8070811600KF,Intel,Core i5-11600KF,10,104,2016,https://cpu.userbenchmark.com/SpeedTest/1512279/11th-Gen-IntelR-CoreTM-i5-11600KF---390GHz
CPU,BX8070811600,Intel,Core i5-11600,11,103,737,https://cpu.userbenchmark.com/SpeedTest/1543284/11th-Gen-IntelR-CoreTM-i5-11600---280GHz
CPU,BX8070811600K,Intel,Core i5-11600K,12,103,12453,https://cpu.userbenchmark.com/Intel-Core-i5-11600K/Rating/4113
CPU,BX80684I99900KS,Intel,Core i9-9900KS,13,101,12760,https://cpu.userbenchmark.com/SpeedTest/929964/IntelR-CoreTM-i9-9900KS-CPU---400GHz
CPU,BX8070110900K,Intel,Core i9-10900K,14,101,64107,https://cpu.userbenchmark.com/Intel-Core-i9-10900K/Rating/4071
CPU,BX8070811700,Intel,Core i7-11700,15,101,6086,https://cpu.userbenchmark.com/SpeedTest/1450761/11th-Gen-IntelR-CoreTM-i7-11700---250GHz
CPU,BX8070811500,Intel,Core i5-11500,16,101,1319,https://cpu.userbenchmark.com/SpeedTest/1496869/11th-Gen-IntelR-CoreTM-i5-11500---270GHz
CPU,BX8070110900KF,Intel,Core i9-10900KF,17,101,15996,https://cpu.userbenchmark.com/SpeedTest/1174369/IntelR-CoreTM-i9-10900KF-CPU---370GHz
CPU,100-100000061WOF,AMD,Ryzen 9 5900X,18,101,88059,https://cpu.userbenchmark.com/AMD-Ryzen-9-5900X/Rating/4087
CPU,100-100000059WOF,AMD,Ryzen 9 5950X,19,100,39042,https://cpu.userbenchmark.com/AMD-Ryzen-9-5950X/Rating/4086
CPU,BX8070110850K,Intel,Core i9-10850K,20,100,52318,https://cpu.userbenchmark.com/SpeedTest/1255865/IntelR-CoreTM-i9-10850K-CPU---360GHz
CPU,BX8070811700F,Intel,Core i7-11700F,21,99.2,4880,https://cpu.userbenchmark.com/SpeedTest/1522100/11th-Gen-IntelR-CoreTM-i7-11700F---250GHz
CPU,100-100000063WOF,AMD,Ryzen 7 5800X,22,98.6,138898,https://cpu.userbenchmark.com/AMD-Ryzen-7-5800X/Rating/4085
CPU,BX8070110700K,Intel,Core i7-10700K,23,98.2,146316,https://cpu.userbenchmark.com/Intel-Core-i7-10700K/Rating/4070
CPU,,AMD,Ryzen 9 5900,24,98,305,https://cpu.userbenchmark.com/SpeedTest/1528736/AMD-Ryzen-9-5900-12-Core-Processor
CPU,BX80684I99900KF,Intel,Core i9-9900KF,25,97.7,18033,https://cpu.userbenchmark.com/SpeedTest/764533/IntelR-CoreTM-i9-9900KF-CPU---360GHz
CPU,BX8070110700KF,Intel,Core i7-10700KF,26,97.7,24483,https://cpu.userbenchmark.com/SpeedTest/1171560/IntelR-CoreTM-i7-10700KF-CPU---380GHz
CPU,BX8070811400,Intel,Core i5-11400,27,97.7,6966,https://cpu.userbenchmark.com/Intel-Core-i5-11400/Rating/4112
CPU,BX80684I99900K,Intel,Core i9-9900K,28,97.4,416846,https://cpu.userbenchmark.com/Intel-Core-i9-9900K/Rating/4028
CPU,,AMD,Ryzen 7 5800,29,97.4,866,https://cpu.userbenchmark.com/SpeedTest/1496609/AMD-Ryzen-7-5800-8-Core-Processor
CPU,BX80684I79700K,Intel,Core i7-9700K,30,97.3,430307,https://cpu.userbenchmark.com/Intel-Core-i7-9700K/Rating/4030
CPU,BX8070110900F,Intel,Core i9-10900F,31,97.3,5633,https://cpu.userbenchmark.com/SpeedTest/1196789/IntelR-CoreTM-i9-10900F-CPU---280GHz
CPU,BX80684I79700KF,Intel,Core i7-9700KF,32,97.1,29356,https://cpu.userbenchmark.com/SpeedTest/710154/IntelR-CoreTM-i7-9700KF-CPU---360GHz
CPU,,Intel,Core i9-10900,33,96.7,7570,https://cpu.userbenchmark.com/SpeedTest/1169242/IntelR-CoreTM-i9-10900-CPU---280GHz
CPU,BX8070811400F,Intel,Core i5-11400F,34,96.4,6856,https://cpu.userbenchmark.com/Intel-Core-i5-11400F/Rating/4111
CPU,,Intel,Core i9-11980HK,35,96.4,711,https://cpu.userbenchmark.com/SpeedTest/1569162/11th-Gen-IntelR-CoreTM-i9-11980HK---260GHz
CPU,100-100000065BOX,AMD,Ryzen 5 5600X,36,95.8,196918,https://cpu.userbenchmark.com/AMD-Ryzen-5-5600X/Rating/4084
CPU,BX8070110700,Intel,Core i7-10700,37,94.6,47765,https://cpu.userbenchmark.com/Intel-Core-i7-10700/Rating/4077
CPU,BX8070110600KF,Intel,Core i5-10600KF,38,94.6,13076,https://cpu.userbenchmark.com/SpeedTest/1225152/IntelR-CoreTM-i5-10600KF-CPU---410GHz
CPU,100-100000263BOX,AMD,Ryzen 7 5700G,39,94.5,3438,https://cpu.userbenchmark.com/SpeedTest/1552677/AMD-Ryzen-7-5700G-with-Radeon-Graphics
