id,manufacturer,model,segment
60f014a31711b076a37bf24d,Intel,Core i9-11900KF,Desktop
60f014a31711b076a37bf24c,Intel,Core i9-11900K,Desktop
60f014a31711b076a37bf24e,Intel,Core i9-11900F,Desktop
60f014a31711b076a37bf247,Intel,Core i9-11900,Desktop
60f014a31711b076a37bf250,Intel,Core i7-11700KF,Desktop
60f014a31711b076a37bf24f,Intel,Core i7-11700K,Desktop
60f014a31711b076a37bf24a,Intel,Core i7-11700F,Desktop
60f014a31711b076a37bf248,Intel,Core i7-11700,Desktop
60f014a31711b076a37bf252,Intel,Core i5-11600KF,Desktop
60f014a31711b076a37bf251,Intel,Core i5-11600K,Desktop
60f014a31711b076a37bf249,Intel,Core i5-11600,Desktop
60f014a31711b076a37bf24b,Intel,Core i5-11500,Desktop
60f014a31711b076a37bf242,Intel,Core i5-11400F,Desktop
60f014a31711b076a37bf23f,Intel,Core i5-11400,Desktop
5fdb5056bf14cc0ff68ceeb9,AMD,Ryzen 9 5950X,Desktop
5fdb5056bf14cc0ff68ceebb,AMD,Ryzen 9 5900X,Desktop
5fdb5056bf14cc0ff68ceeba,AMD,Ryzen 7 5800X,Desktop
5fdb5056bf14cc0ff68ceebc,AMD,Ryzen 5 5600X,Desktop
5fdb5056bf14cc0ff68ceec2,Intel,Core i9-10850K,Desktop
60f014a31711b076a37bf233,AMD,Ryzen 7 PRO 4750G,Desktop
60f014a31711b076a37bf22d,AMD,Ryzen 5 PRO 4650G,Desktop
5fdb5056bf14cc0ff68ceec7,AMD,Ryzen 9 3900XT,Desktop
5fdb5056bf14cc0ff68ceec1,AMD,Ryzen 7 3800XT,Desktop
5fdb5056bf14cc0ff68ceec0,Intel,Core i9-10900KF,Desktop
5fdb5056bf14cc0ff68ceebe,Intel,Core i9-10900K,Desktop
60f014a31711b076a37bf23c,Intel,Core i9-10900F,Desktop
5fdb5056bf14cc0ff68ceeca,Intel,Core i9-10900,Desktop
5fdb5056bf14cc0ff68ceec4,Intel,Core i7-10700KF,Desktop
5fdb5056bf14cc0ff68ceec3,Intel,Core i7-10700K,Desktop
