id,manufacturer,model,segment
60f04d641385bd17bac9ad0d,AMD,Radeon Pro W6800,Desktop
60f04d641385bd17bac9ad0b,AMD,Radeon Pro W6600,Desktop
6003866ba37b1acb2d7d72db,NVIDIA,GeForce RTX 3080 Ti,Desktop
6003866ba37b1acb2d7d72da,NVIDIA,GeForce RTX 3070 Ti,Desktop
60f04d641385bd17bac9ad07,AMD,Radeon RX 6700 XT,Desktop
6003866ba37b1acb2d7d72b1,NVIDIA,GeForce GT 1010,Desktop
6003866ba37b1acb2d7d72dd,NVIDIA,GeForce RTX 3060,Desktop
6003866ba37b1acb2d7d72dc,NVIDIA,GeForce RTX 3050,Desktop
60f04d641385bd17bac9ad0f,AMD,Radeon RX 6700,Desktop
6003866ba37b1acb2d7d72de,NVIDIA,GeForce RTX 3060 Ti,Desktop
6003866ba37b1acb2d7d7142,AMD,Radeon Pro V520,Desktop
60f04d631385bd17bac9ace3,Intel,H3C XG310,Desktop
6003866ba37b1acb2d7d70d7,AMD,Radeon RX 6900 XT,Desktop
6003866ba37b1acb2d7d70d6,AMD,Radeon RX 6800 XT,Desktop
6003866ba37b1acb2d7d70d5,AMD,Radeon RX 6800,Desktop
6003866ba37b1acb2d7d72e1,NVIDIA,GeForce RTX 3090,Desktop
6003866ba37b1acb2d7d72e0,NVIDIA,GeForce RTX 3080,Desktop
6003866ba37b1acb2d7d72df,NVIDIA,GeForce RTX 3070,Desktop
6003866ba37b1acb2d7d7158,AMD,Radeon Pro 5700 XT,Desktop
6003866ba37b1acb2d7d7157,AMD,Radeon Pro 5700,Desktop
6003866ba37b1acb2d7d7156,AMD,Radeon Pro 5500 XT,Desktop
6003866ba37b1acb2d7d7155,AMD,Radeon Pro 5300,Desktop
6003866ba37b1acb2d7d713a,AMD,Radeon RX 5300,Desktop
6003866ba37b1acb2d7d7143,AMD,Radeon Pro VII,Desktop
6003866ba37b1acb2d7d72cb,NVIDIA,GeForce GTX 1650 GDDR6,Desktop
6003866ba37b1acb2d7d70bd,AMD,Radeon RX 590 GME,Desktop
6003866ba37b1acb2d7d7144,AMD,Radeon Pro W5500,Desktop
6003866ba37b1acb2d7d713c,AMD,Radeon RX 5600 XT,Desktop
6003866ba37b1acb2d7d713b,AMD,Radeon RX 5600 OEM,Desktop
6003866ba37b1acb2d7d713d,AMD,Radeon RX 5500 XT,Desktop
6003866ba37b1acb2d7d715a,AMD,Radeon Pro W5700X,Desktop
6003866ba37b1acb2d7d72cc,NVIDIA,GeForce GTX 1650 SUPER,Desktop
6003866ba37b1acb2d7d7145,AMD,Radeon Pro W5700,Desktop
6003866ba37b1acb2d7d72cd,NVIDIA,GeForce GTX 1660 SUPER,Desktop
6003866ba37b1acb2d7d713f,AMD,Radeon RX 5500 OEM,Desktop
6003866ba37b1acb2d7d713e,AMD,Radeon RX 5300 XT,Desktop
6003866ba37b1acb2d7d72d2,NVIDIA,GeForce RTX 2080 SUPER,Desktop
6003866ba37b1acb2d7d72d4,NVIDIA,GeForce RTX 2070 SUPER,Desktop
6003866ba37b1acb2d7d7141,AMD,Radeon RX 5700 XT,Desktop
